Series ID,Region Name,Region Code,01-06-2023
COARAP0URN,"Arapahoe County, CO",8005,3.3
COARCH7URN,"Archuleta County, CO",8007,3.3
COBACA9URN,"Baca County, CO",8009,2
COBENT1URN,"Bent County, CO",8011,2.9
COBOUL3URN,"Boulder County, CO",8013,3.1
COCHAF5URN,"Chaffee County, CO",8015,2.9
COCHEY7URN,"Cheyenne County, CO",8017,2.3
COCLEA9URN,"Clear Creek County, CO",8019,2.9
COCONE1URN,"Conejos County, CO",8021,3.2
COCOST3URN,"Costilla County, CO",8023,4.3
COCROW5URN,"Crowley County, CO",8025,4.7
COCUST7URN,"Custer County, CO",8027,3.3
CODELT9URN,"Delta County, CO",8029,3.7
CODENV5URN,"Denver County, CO",8031,3.4
CODOLO3URN,"Dolores County, CO",8033,2.7
CODOUG5URN,"Douglas County, CO",8035,3.1
COEAGL7URN,"Eagle County, CO",8037,2.8
COELBE9URN,"Elbert County, CO",8039,2.9
COELPA0URN,"El Paso County, CO",8041,3.5
COFREM3URN,"Fremont County, CO",8043,4.9
COGARF5URN,"Garfield County, CO",8045,3
COGILP7URN,"Gilpin County, CO",8047,2.9
COGRAN9URN,"Grand County, CO",8049,2.9
COGUNN1URN,"Gunnison County, CO",8051,2.6
COHINS3URN,"Hinsdale County, CO",8053,2.2
COHUER5URN,"Huerfano County, CO",8055,5.9
COJACK7URN,"Jackson County, CO",8057,1.7
COJEFF9URN,"Jefferson County, CO",8059,3.1
COKIOW1URN,"Kiowa County, CO",8061,2.1
COKITC3URN,"Kit Carson County, CO",8063,1.9
COLAKE5URN,"Lake County, CO",8065,2.6
COLAPL7URN,"La Plata County, CO",8067,2.9
COLARI1URN,"Larimer County, CO",8069,3
COLASA1URN,"Las Animas County, CO",8071,5.3
COLINC3URN,"Lincoln County, CO",8073,3
COLOGA5URN,"Logan County, CO",8075,3.1
COMESA5URN,"Mesa County, CO",8077,3.7
COMINE9URN,"Mineral County, CO",8079,2.3
COMOFF1URN,"Moffat County, CO",8081,3.3
COMONT3URN,"Montezuma County, CO",8083,3.4
COMONT5URN,"Montrose County, CO",8085,3.3
COMORG7URN,"Morgan County, CO",8087,3.2
COOTER9URN,"Otero County, CO",8089,4.5
COOURA1URN,"Ouray County, CO",8091,3.1
COPARK3URN,"Park County, CO",8093,3
COPHIL5URN,"Phillips County, CO",8095,2.6
COPITK7URN,"Pitkin County, CO",8097,3.3
COPROW9URN,"Prowers County, CO",8099,3.2
COPUEB2URN,"Pueblo County, CO",8101,4.4
CORIOB3URN,"Rio Blanco County, CO",8103,3.6
CORIOG5URN,"Rio Grande County, CO",8105,3.5
COROUT7URN,"Routt County, CO",8107,2.8
COSAGU9URN,"Saguache County, CO",8109,3.6
COSANJ1URN,"San Juan County, CO",8111,1.8
COSANM3URN,"San Miguel County, CO",8113,2.4
COSEDG5URN,"Sedgwick County, CO",8115,3.7
COSUMM7URN,"Summit County, CO",8117,2.7
COTELL9URN,"Teller County, CO",8119,3.1
COWASH1URN,"Washington County, CO",8121,2.3
COWELD3URN,"Weld County, CO",8123,3.5
COYUMA5URN,"Yuma County, CO",8125,2.1
CTFAIR1URN,"Fairfield County, CT",9001,4.1
CTHART3URN,"Hartford County, CT",9003,4
CTLITC5URN,"Litchfield County, CT",9005,3.3
CTMIDD7URN,"Middlesex County, CT",9007,3.4
CTNEWH9URN,"New Haven County, CT",9009,4.1
CTNEWL1URN,"New London County, CT",9011,3.8
CTTOLL3URN,"Tolland County, CT",9013,3.9
CTWIND5URN,"Windham County, CT",9015,4.2
DEKENT1URN,"Kent County, DE",10001,5.3
DENEWC3URN,"New Castle County, DE",10003,4.5
DESUSS0URN,"Sussex County, DE",10005,3.7
DCURN,District of Columbia,11001,5.5
FLALAC1URN,"Alachua County, FL",12001,3.2
FLBAKE3URN,"Baker County, FL",12003,2.9
FLBAYC5URN,"Bay County, FL",12005,2.7
FLBRAD7URN,"Bradford County, FL",12007,3.2
FLBREV3URN,"Brevard County, FL",12009,3
FLBROW5URN,"Broward County, FL",12011,2.9
FLCALH3URN,"Calhoun County, FL",12013,3.3
FLCHAR5URN,"Charlotte County, FL",12015,3.4
FLCITR5URN,"Citrus County, FL",12017,4.4
FLCLAY5URN,"Clay County, FL",12019,2.9
FLCOLL0URN,"Collier County, FL",12021,3
FLCOLU3URN,"Columbia County, FL",12023,3.4
FLDESO7URN,"De Soto County, FL",12027,3.4
FLDIXI9URN,"Dixie County, FL",12029,3.7
FLDUVA0URN,"Duval County, FL",12031,3.2
FLESCA0URN,"Escambia County, FL",12033,3.1
FLFLAG5URN,"Flagler County, FL",12035,3.6
FLFRAN7URN,"Franklin County, FL",12037,2.5
FLGADS9URN,"Gadsden County, FL",12039,3.8
FLGILC1URN,"Gilchrist County, FL",12041,3.4
FLGLAD3URN,"Glades County, FL",12043,3.9
FLGULF5URN,"Gulf County, FL",12045,2.6
FLHAMI7URN,"Hamilton County, FL",12047,3.9
FLHARD9URN,"Hardee County, FL",12049,4.3
FLHEND1URN,"Hendry County, FL",12051,5.7
FLHERN3URN,"Hernando County, FL",12053,3.9
FLHIGH5URN,"Highlands County, FL",12055,4.6
FLHILL7URN,"Hillsborough County, FL",12057,3
FLHOLM9URN,"Holmes County, FL",12059,3.3
FLINDI0URN,"Indian River County, FL",12061,3.6
FLJACK3URN,"Jackson County, FL",12063,3.7
FLJEFF5URN,"Jefferson County, FL",12065,3.2
FLLAFA7URN,"Lafayette County, FL",12067,3.3
FLLAKE4URN,"Lake County, FL",12069,3.1
FLLEEC7URN,"Lee County, FL",12071,3.1
FLLEON3URN,"Leon County, FL",12073,3.3
FLLEVY5URN,"Levy County, FL",12075,3.5
FLLIBE7URN,"Liberty County, FL",12077,3.3
FLMADI9URN,"Madison County, FL",12079,3.2
FLMANA1URN,"Manatee County, FL",12081,3.1
FLMARI7URN,"Marion County, FL",12083,3.7
FLMART7URN,"Martin County, FL",12085,2.9
FLMIAM6URN,"Miami-Dade County, FL",12086,2.2
FLMONR5URN,"Monroe County, FL",12087,1.9
FLNASS9URN,"Nassau County, FL",12089,2.8
FLOKAL7URN,"Okaloosa County, FL",12091,2.6
